,Deaths,Infected,Known_Infection,Released,c,test_rate,alpha,specificity,sensitivity
0,2412767.406868303,267825039.96147642,11887066.198357131,9474298.380199505,0.0,0.0,4.0,0.96,0.94
1,2412623.5405828054,267812767.56668657,12061551.707083292,9650778.440352526,0.0,1000.0,4.0,0.96,0.94
2,2411327.1440078877,267702148.5867034,13630318.099219292,11237569.821333744,0.0,10000.0,4.0,0.96,0.94
3,2398204.9769235454,266579345.24515992,29154278.898020294,26949338.207292676,0.0,100000.0,4.0,0.96,0.94
4,2252539.401257835,253742300.0981201,161481181.3823132,162204180.96574542,0.0,1000000.0,4.0,0.96,0.94
5,1346095.3957717689,163744711.73565608,163584160.8842156,252270796.01021534,0.0,10000000.0,4.0,0.96,0.94
6,1863181.7660360022,218107084.83750403,8945273.904007478,7082030.287896776,0.5,0.0,4.0,0.96,0.94
7,1862988.0135823544,218088027.136086,9083449.083967201,7223761.9364181785,0.5,1000.0,4.0,0.96,0.94
8,1861243.8867507167,217916430.65157542,10324777.384505678,8497208.618845757,0.5,10000.0,4.0,0.96,0.94
9,1843765.8732875336,216192564.17974702,22511197.664627466,21015949.53104817,0.5,100000.0,4.0,0.96,0.94
10,1671045.3088540116,198741358.7016888,117704342.13582513,120821345.18374759,0.5,1000000.0,4.0,0.96,0.94
11,1052627.752286503,132877095.45366083,132450733.32270783,223431463.43569532,0.5,10000000.0,4.0,0.96,0.94
12,948694.4716651293,121152169.900824,3827271.0308634294,2877797.745380133,1.0,0.0,4.0,0.96,0.94
13,948634.678032529,121145018.87481746,3908086.344005945,2965063.9799226215,1.0,1000.0,4.0,0.96,0.94
14,948097.7724172475,121080815.357564,4633647.30022859,3748765.7503872844,1.0,10000.0,4.0,0.96,0.94
15,942830.5759099831,120451145.91447456,11712689.765016858,11417801.998011984,1.0,100000.0,4.0,0.96,0.94
16,898477.870383159,115145189.43202686,65174922.30952035,71609881.97886378,1.0,1000000.0,4.0,0.96,0.94
17,772131.8502721719,100476554.17162597,100279209.86383194,195947949.60086578,1.0,10000000.0,4.0,0.96,0.94
